Title,Description,Cover
2 States,A Punjabi boy and a Tamil girl fall in love and struggle to convince their families for marriage.,https://covers.openlibrary.org/b/title/2%20States-L.jpg
Dollar Bahu,"A story about family relationships, money, and social status.",https://covers.openlibrary.org/b/title/Dollar%20Bahu-L.jpg
The Alchemist,A shepherd boy travels in search of treasure and purpose in life.,https://covers.openlibrary.org/b/title/The%20Alchemist-L.jpg
Raavan,The life story of Raavan and his rise in the mythological world.,https://covers.openlibrary.org/b/title/Raavan-L.jpg
Atomic Habits,A guide to building better habits and improving daily life.,https://covers.openlibrary.org/b/title/Atomic%20Habits-L.jpg
Gently Falls the Bakula,"A story about marriage, ambition, and emotional loneliness.",https://covers.openlibrary.org/b/title/Gently%20Falls%20the%20Bakula-L.jpg
Harry Potter and the Philosopher's Stone,A boy discovers he is a wizard and joins Hogwarts School.,https://covers.openlibrary.org/b/title/Harry%20Potter%20and%20the%20Philosopher's%20Stone-L.jpg
Five Point Someone,Three IIT students struggle with academics and friendship.,https://covers.openlibrary.org/b/title/Five%20Point%20Someone-L.jpg
The Midnight Library,A magical library lets a woman explore alternate versions of her life.,https://covers.openlibrary.org/b/title/The%20Midnight%20Library-L.jpg
Mahashweta,A woman overcomes discrimination caused by a skin condition.,https://covers.openlibrary.org/b/title/Mahashweta-L.jpg
The Immortals of Meluha,Shiva arrives in Meluha and becomes their legendary savior.,https://covers.openlibrary.org/b/title/The%20Immortals%20of%20Meluha-L.jpg
The Psychology of Money,The book explains how emotions affect financial decisions.,https://covers.openlibrary.org/b/title/The%20Psychology%20of%20Money-L.jpg
Half Girlfriend,A boy struggles to express his feelings to the girl he loves.,https://covers.openlibrary.org/b/title/Half%20Girlfriend-L.jpg
Wise and Otherwise,"Real-life stories about kindness, humanity, and values.",https://covers.openlibrary.org/b/title/Wise%20and%20Otherwise-L.jpg
Percy Jackson & the Olympians: The Lightning Thief,A teenager discovers he is connected to Greek gods.,https://covers.openlibrary.org/b/title/Percy%20Jackson%20&%20the%20Olympians:%20The%20Lightning%20Thief-L.jpg
The Secret of the Nagas,Shiva searches for the mysterious Nagas and hidden truths.,https://covers.openlibrary.org/b/title/The%20Secret%20of%20the%20Nagas-L.jpg
Ikigai,A guide to finding purpose and happiness in life.,https://covers.openlibrary.org/b/title/Ikigai-L.jpg
The Fault in Our Stars,Two teenagers with cancer fall in love and find hope together.,https://covers.openlibrary.org/b/title/The%20Fault%20in%20Our%20Stars-L.jpg
Grandma's Bag of Stories,A collection of warm and entertaining stories told by a grandmother.,https://covers.openlibrary.org/b/title/Grandma's%20Bag%20of%20Stories-L.jpg
One Indian Girl,A successful woman questions society’s expectations about women and marriage.,https://covers.openlibrary.org/b/title/One%20Indian%20Girl-L.jpg
